Ingrediente_original,Ingrediente_limpio,Es_valido
**thiamin,ingrediente_basura,0
**this,ingrediente_basura,0
**vegetable,ingrediente_basura,0
**water,ingrediente_basura,0
**we,ingrediente_basura,0
*-,ingrediente_basura,0
*.,ingrediente_basura,0
*.g,ingrediente_basura,0
*=,ingrediente_basura,0
*=certified,ingrediente_basura,0
*=from,ingrediente_basura,0
*=non-organic,ingrediente_basura,0
*=organic,ingrediente_basura,0
*=organically,ingrediente_basura,0
*=permitted,ingrediente_basura,0
*=vacuum,ingrediente_basura,0
*a,ingrediente_basura,0
*a.o.p,ingrediente_basura,0
*acai,ingrediente_basura,0
*agave,ingrediente_basura,0
*agricultural,ingrediente_basura,0
*agriculture,ingrediente_basura,0
*alaska,ingrediente_basura,0
*alcohol,ingrediente_basura,0
*all,ingrediente_basura,0
*allura,ingrediente_basura,0
*aloe,ingrediente_basura,0
*alpha-isomethyl,ingrediente_basura,0
*amyl,ingrediente_basura,0
*approve,ingrediente_basura,0
*approved,ingrediente_basura,0
*arto,ingrediente_basura,0
*as,ingrediente_basura,0
*authorisation,ingrediente_basura,0
*authorization,ingrediente_basura,0
*avegetable,ingrediente_basura,0
*based,ingrediente_basura,0
*batter,ingrediente_basura,0
*benzyl,ingrediente_basura,0
*bilberry,ingrediente_basura,0
*biologic-dynamic,ingrediente_basura,0
*blackcurrant,ingrediente_basura,0
*blend,ingrediente_basura,0
*botanical,ingrediente_basura,0
*both,ingrediente_basura,0
*bouillon,ingrediente_basura,0
*breadcrumb,bread,1
*butter,butter,1
*cananga,ingrediente_basura,0
*cane,cane,1
*caught,ingrediente_basura,0
*cayenne,ingrediente_basura,0
*certified,ingrediente_basura,0
*chicken,chicken,1
*chicory,ingrediente_basura,0
*chilli,ingrediente_basura,0
*chocolate,ingrediente_basura,0
*chun-mee,ingrediente_basura,0
*cider,ingrediente_basura,0
*cinnamal,ingrediente_basura,0
*cinnamon,ingrediente_basura,0
*citral,ingrediente_basura,0
*citronellol,ingrediente_basura,0
*citrus,ingrediente_basura,0
*cocoa,ingrediente_basura,0
*cold,ingrediente_basura,0
*colour,ingrediente_basura,0
*colouring,ingrediente_basura,0
*commonly,ingrediente_basura,0
*concentrate,ingrediente_basura,0
*concentrated,ingrediente_basura,0
*consumption,ingrediente_basura,0
*contains,ingrediente_basura,0
*contributes,ingrediente_basura,0
*coriander,ingrediente_basura,0
*corn,ingrediente_basura,0
*corresponds,ingrediente_basura,0
*cotton,ingrediente_basura,0
*coumarin,ingrediente_basura,0
*cupressus,ingrediente_basura,0
*daal,ingrediente_basura,0
*dark,ingrediente_basura,0
*dehydrated,ingrediente_basura,0
*denotes,ingrediente_basura,0
*derived,ingrediente_basura,0
*don't,ingrediente_basura,0
*dried,ingrediente_basura,0
*due,ingrediente_basura,0
*e,ingrediente_basura,0
*ecological,ingrediente_basura,0
*elderflower,ingrediente_basura,0
*equivalent,ingrediente_basura,0
*ethyl,ingrediente_basura,0
*eu,ingrediente_basura,0
*eugenia,ingrediente_basura,0
*eugenol,ingrediente_basura,0
*euthynnus,ingrediente_basura,0
*excessive,ingrediente_basura,0
*excluding,ingrediente_basura,0
*fairtrade,ingrediente_basura,0
*farnesol,ingrediente_basura,0
*fear,ingrediente_basura,0
*filled,ingrediente_basura,0
*fine,ingrediente_basura,0
*flora,ingrediente_basura,0
*flour,ingrediente_basura,0
*from,ingrediente_basura,0
*frommilk,milk,1
*garlic,ingrediente_basura,0
*gb-org-,ingrediente_basura,0
*gelling,ingrediente_basura,0
*genetically,ingrediente_basura,0
*geraniol,ingrediente_basura,0
*ginger,ingrediente_basura,0
*glucose-fructose,ingrediente_basura,0
*gluten,ingrediente_basura,0
*gram,ingrediente_basura,0
*grape,grape,1
*graze,ingrediente_basura,0
*green,ingrediente_basura,0
*guanabana,ingrediente_basura,0
*helianthus,ingrediente_basura,0
*herbs,ingrediente_basura,0
*hexyl,ingrediente_basura,0
*hibiscus,ingrediente_basura,0
*higgidy.co.uk/palmoil,ingrediente_basura,0
*honeybush,ingrediente_basura,0
*hydroxycitronellal,ingrediente_basura,0
*i,ingrediente_basura,0
*includes,ingrediente_basura,0
*indicate,ingrediente_basura,0
*indicates,ingrediente_basura,0
*ingredient,ingrediente_basura,0
*ingredients,ingrediente_basura,0
*isomaltulose,ingrediente_basura,0
*kale,ingrediente_basura,0
*koji,ingrediente_basura,0
*kombucha,ingrediente_basura,0
*l.,ingrediente_basura,0
*lavandula,ingrediente_basura,0
*lecithin,ingrediente_basura,0
*lemon,ingrediente_basura,0
*lime,ingrediente_basura,0
*limonene,ingrediente_basura,0
*linalool,ingrediente_basura,0
*linalool.,ingrediente_basura,0
*linseeds,ingrediente_basura,0
*liquorice,rice,1
*live,ingrediente_basura,0
*low,ingrediente_basura,0
*mace,ingrediente_basura,0
*made,ingrediente_basura,0
*maize,maize,1
*malt,ingrediente_basura,0
*maltodextrin,ingrediente_basura,0
*mangetout,ingrediente_basura,0
*manioc,ingrediente_basura,0
*may,ingrediente_basura,0
*mentha,ingrediente_basura,0
*micronutrient,ingrediente_basura,0
*milk,milk,1
*minimum,ingrediente_basura,0
*minimummini,ingrediente_basura,0
*mixed,ingrediente_basura,0
*molasses,ingrediente_basura,0
*mustardflour,ingrediente_basura,0
*natural,ingrediente_basura,0
*naturally,ingrediente_basura,0
*nettle,ingrediente_basura,0
*niacin,ingrediente_basura,0
*nigari,ingrediente_basura,0
*no,ingrediente_basura,0
*non,ingrediente_basura,0
*non-organic,ingrediente_basura,0
*non-organic.,ingrediente_basura,0
*not,ingrediente_basura,0
*nutrients,ingrediente_basura,0
*oats,ingrediente_basura,0
*olea,ingrediente_basura,0
*onion,onion,1
*orange,ingrediente_basura,0
*organic,ingrediente_basura,0
*organic.,ingrediente_basura,0
*organic/demeter,ingrediente_basura,0
*organically,ingrediente_basura,0
*origin,ingrediente_basura,0
*our,ingrediente_basura,0
*palm,ingrediente_basura,0
*paprika,ingrediente_basura,0
*paste,ingrediente_basura,0
*pasteurised,ingrediente_basura,0
*peas,ingrediente_basura,0
*pelargonium,ingrediente_basura,0
*pepper,ingrediente_basura,0
*percentage,ingrediente_basura,0
*percentages,ingrediente_basura,0
*permitted,ingrediente_basura,0
*pineapple,apple,1
*plant,ingrediente_basura,0
*potential,ingrediente_basura,0
*produced,ingrediente_basura,0
*product,ingrediente_basura,0
*products,ingrediente_basura,0
*prunes,ingrediente_basura,0
*prunus,ingrediente_basura,0
*rainforest,ingrediente_basura,0
*raising,ingrediente_basura,0
*raisins,ingrediente_basura,0
*raspberry,ingrediente_basura,0
*raw,ingrediente_basura,0
*responsibly,ingrediente_basura,0
*rice,rice,1
*roasted,ingrediente_basura,0
*rosa,ingrediente_basura,0
*rose,ingrediente_basura,0
*rosehip,ingrediente_basura,0
*rosmarinus,ingrediente_basura,0
*rspo,ingrediente_basura,0
*salt,ingrediente_basura,0
*salvia,ingrediente_basura,0
*sea,ingrediente_basura,0
*see,ingrediente_basura,0
*seeds,ingrediente_basura,0
*shea,ingrediente_basura,0
*signifies,ingrediente_basura,0
*softflour,ingrediente_basura,0
*sourdough,ingrediente_basura,0
*soy,ingrediente_basura,0
*soybeans,ingrediente_basura,0
*spirit,ingrediente_basura,0
*spring,ingrediente_basura,0
*statutory,ingrediente_basura,0
*steak,tea,1
*streptococcus,ingrediente_basura,0
*sugar,ingrediente_basura,0
*sugarsnap,ingrediente_basura,0
*sultanas,ingrediente_basura,0
*sunflower,ingrediente_basura,0
*superior,ingrediente_basura,0
*sustainably,ingrediente_basura,0
*tamari,ingrediente_basura,0
*tapioca,ingrediente_basura,0
*the,ingrediente_basura,0
*these,ingrediente_basura,0
*thiamin,ingrediente_basura,0
*this,ingrediente_basura,0
*thunnus,ingrediente_basura,0
*thymus,ingrediente_basura,0
*tocopheryl,ingrediente_basura,0
*tofu,tofu,1
*tomatoes,tomato,1
*total,ingrediente_basura,0
*trehalose,ingrediente_basura,0
*try,ingrediente_basura,0
*tumeric,ingrediente_basura,0
*turmeric,ingrediente_basura,0
*used,ingrediente_basura,0
*vanilla,ingrediente_basura,0
*vegetable,ingrediente_basura,0
*vitamin,ingrediente_basura,0
*water,ingrediente_basura,0
*we,ingrediente_basura,0
*wheat,ingrediente_basura,0
*wheatflour,ingrediente_basura,0
*white,ingrediente_basura,0
*whiteas,tea,1
*whitefishas,fish,1
*wholeflour,ingrediente_basura,0
*wholegrain,ingrediente_basura,0
*wine,wine,1
*www.higgidy.co.uk/palmoil,ingrediente_basura,0
*www.pieminister.co.uk/wecare,ingrediente_basura,0
*www.pieminister/wecare,ingrediente_basura,0
*yeast,ingrediente_basura,0
*ylang,ingrediente_basura,0
*â€,ingrediente_basura,0
+,ingrediente_basura,0
+/-,ingrediente_basura,0
+/-ci,ingrediente_basura,0
+certified,ingrediente_basura,0
+citral,ingrediente_basura,0
+for,ingrediente_basura,0
+gelling,ingrediente_basura,0
+limonene,ingrediente_basura,0
+linalool.,ingrediente_basura,0
+nut/seed-based,nuts,1
+organically,ingrediente_basura,0
+produced,ingrediente_basura,0
-,ingrediente_basura,0
-'ribonucleotides,ingrediente_basura,0
--,ingrediente_basura,0
---,ingrediente_basura,0
--lactylate,ingrediente_basura,0
-and,ingrediente_basura,0
-b,ingrediente_basura,0
-based,ingrediente_basura,0
-bha,ingrediente_basura,0
-bran,ingrediente_basura,0
-bromo--nitropropane-,ingrediente_basura,0
-cm,ingrediente_basura,0
-contigency,ingrediente_basura,0
-cooked,ingrediente_basura,0
-cyclohexene,ingrediente_basura,0
-derived,ingrediente_basura,0
-dicitrate/stearate,tea,1
-diol,ingrediente_basura,0
-during,ingrediente_basura,0
-germ,ingrediente_basura,0
-hexanediol,ingrediente_basura,0
-in-,ingrediente_basura,0
-lactylate,ingrediente_basura,0
-lecithin,ingrediente_basura,0
-lecithins,ingrediente_basura,0
-maris,ingrediente_basura,0
-methyl---methylethylenyl,ingrediente_basura,0
-methylbenzylidene,ingrediente_basura,0
-methylhydantoin--imide,ingrediente_basura,0
-naphthalate,ingrediente_basura,0
-not,ingrediente_basura,0
-o-ethyl,ingrediente_basura,0
-octynoate,ingrediente_basura,0
-phosphate,ingrediente_basura,0
-ribonucleotides,ingrediente_basura,0
-rich,ingrediente_basura,0
-semolina,ingrediente_basura,0
-skimmed,ingrediente_basura,0
-sodium,ingrediente_basura,0
-soy,ingrediente_basura,0
-soyalecithin,ingrediente_basura,0
-soyaleithin,ingrediente_basura,0
-sulphites,ingrediente_basura,0
-wheatflour,ingrediente_basura,0
-â°c,ingrediente_basura,0
.,ingrediente_basura,0
.#,ingrediente_basura,0
.*,ingrediente_basura,0
.***,ingrediente_basura,0
.*approved,ingrediente_basura,0
.*contains,ingrediente_basura,0
.*grown,ingrediente_basura,0
.*rainforest,ingrediente_basura,0
.*â—_,ingrediente_basura,0
.-,ingrediente_basura,0
.-wheatflour,ingrediente_basura,0
..,ingrediente_basura,0
..*oligofructose,ingrediente_basura,0
..*organic,ingrediente_basura,0
...,ingrediente_basura,0
...and,ingrediente_basura,0
...ingredients,ingrediente_basura,0
...nb,ingrediente_basura,0
...ã‚wheat,ingrediente_basura,0
..allergy,ingrediente_basura,0
..chopped,ingrediente_basura,0
..composition,ingrediente_basura,0
..lemon,ingrediente_basura,0
..minimum,ingrediente_basura,0
..packaged,ingrediente_basura,0
..pizza,ingrediente_basura,0
..white,ingrediente_basura,0
..â€ from,ingrediente_basura,0
..ã‚,ingrediente_basura,0
.a,ingrediente_basura,0
.all,ingrediente_basura,0
.allergens,ingrediente_basura,0
.although,ingrediente_basura,0
.apple,apple,1
.avoid,ingrediente_basura,0
.bacon,ingrediente_basura,0
.basil,ingrediente_basura,0
.basted,ingrediente_basura,0
.black,ingrediente_basura,0
.blue,ingrediente_basura,0
.blueberry,ingrediente_basura,0
.caesar,ingrediente_basura,0
.catnip,ingrediente_basura,0
.cheese,cheese,1
.cherry,ingrediente_basura,0
.chicken,chicken,1
.chocolate,ingrediente_basura,0
.cocoa,ingrediente_basura,0
.coconut,ingrediente_basura,0
.composition,ingrediente_basura,0
.contain,ingrediente_basura,0
.contains,ingrediente_basura,0
.containts,ingrediente_basura,0
.cooked,ingrediente_basura,0
.cows'milk,milk,1
.cream,ingrediente_basura,0
.croutons,ingrediente_basura,0
.crunchy,ingrediente_basura,0
.dark,ingrediente_basura,0
.dead,ingrediente_basura,0
.do,ingrediente_basura,0
.e,ingrediente_basura,0
.egg,ingrediente_basura,0
.emmental,ingrediente_basura,0
.fortified,ingrediente_basura,0
.frombarley.,ingrediente_basura,0
.g,ingrediente_basura,0
.g/g,ingrediente_basura,0
.g/g*,ingrediente_basura,0
.g/kg,ingrediente_basura,0
.g/kgnutritional,ingrediente_basura,0
.ginger,ingrediente_basura,0
.gruyer,ingrediente_basura,0
.ingredients,ingrediente_basura,0
.jam,ingrediente_basura,0
.kimchi,ingrediente_basura,0
.lemon,ingrediente_basura,0
.lime,ingrediente_basura,0
.made,ingrediente_basura,0
.manuka,ingrediente_basura,0
.mashed,ingrediente_basura,0
.mg,ingrediente_basura,0
.mg/kg,ingrediente_basura,0
.mg/kg.analytical,ingrediente_basura,0
.milk,milk,1
.mixed,ingrediente_basura,0
.ml,ingrediente_basura,0
.ml/ml,ingrediente_basura,0
.of,ingrediente_basura,0
.omega,ingrediente_basura,0
.orange,ingrediente_basura,0
.organic,ingrediente_basura,0
.packaged,ingrediente_basura,0
.packed,ingrediente_basura,0
.parsley,ingrediente_basura,0
.passion,ingrediente_basura,0
.pastry,ingrediente_basura,0
.pear,ingrediente_basura,0
.pork,pork,1
.ppm,ingrediente_basura,0
.prepared,ingrediente_basura,0
.produce,ingrediente_basura,0
.produced,ingrediente_basura,0
.pulled,ingrediente_basura,0
.raisins,ingrediente_basura,0
.rapeseed,ingrediente_basura,0
.ras-el,ingrediente_basura,0
.raspberry,ingrediente_basura,0
.red,ingrediente_basura,0
.rice,rice,1
.safety,ingrediente_basura,0
.satsuma,ingrediente_basura,0
.sesame,ingrediente_basura,0
.shea,ingrediente_basura,0
.smoked,ingrediente_basura,0
.southern,ingrediente_basura,0
.stir,ingrediente_basura,0
.strawberry,ingrediente_basura,0
.sugar,ingrediente_basura,0
.total,ingrediente_basura,0
.tricolour,ingrediente_basura,0
.tuna,ingrediente_basura,0
.typically,ingrediente_basura,0
.vegetable,ingrediente_basura,0
.visitwww.info.fairtrade.netflo,ingrediente_basura,0
.waitrose,ingrediente_basura,0
.water,ingrediente_basura,0
.wheat,ingrediente_basura,0
.with,ingrediente_basura,0
.www.info.fairtrade.net,ingrediente_basura,0
.x,ingrediente_basura,0
.zesty,ingrediente_basura,0
.},ingrediente_basura,0
.â¿,ingrediente_basura,0
.â€,ingrediente_basura,0
.ã‚,ingrediente_basura,0
/,ingrediente_basura,0
//eg,ingrediente_basura,0
/c-,ingrediente_basura,0
/ci,ingrediente_basura,0
/e,ingrediente_basura,0
/filtered,ingrediente_basura,0
/g,ingrediente_basura,0
/kg,ingrediente_basura,0
/mytilus,ingrediente_basura,0
/or,ingrediente_basura,0
<,ingrediente_basura,0
<**,ingrediente_basura,0
<.,ingrediente_basura,0
<.*,ingrediente_basura,0
<.g,ingrediente_basura,0
<.g/ml,ingrediente_basura,0
<>,ingrediente_basura,0
<acacia,ingrediente_basura,0
<mg,ingrediente_basura,0
<o,ingrediente_basura,0
<ppm,ingrediente_basura,0
<strong>egg</strong>,egg,1
<strong>eggs</strong>,egg,1
<strong>milk</strong>,milk,1
<strong>mustard</strong>,ingrediente_basura,0
<strong>oat</strong>,ingrediente_basura,0
<strong>spelt</strong>,ingrediente_basura,0
<strong>wheat</strong>,ingrediente_basura,0
=,ingrediente_basura,0
=certified,ingrediente_basura,0
>,ingrediente_basura,0
?,ingrediente_basura,0
?buckwheat,ingrediente_basura,0
?certified,ingrediente_basura,0
?fair,ingrediente_basura,0
?leaf,ingrediente_basura,0
"\""\",ingrediente_basura,0
"\""\""",ingrediente_basura,0
"\""\""contain",ingrediente_basura,0
"\""\""contains",ingrediente_basura,0
"\""\""flour",ingrediente_basura,0
"\""aceto",ingrediente_basura,0
"\""crãªpes",ingrediente_basura,0
"\""limone",ingrediente_basura,0
"\""monosodium",ingrediente_basura,0
"\""parmigiano",ingrediente_basura,0
"\""pecorino",ingrediente_basura,0
"\""salvia",ingrediente_basura,0
"\""t&e",ingrediente_basura,0
"\""tortowa\",ingrediente_basura,0
"\""valsoia",ingrediente_basura,0
"\""water",ingrediente_basura,0
\\u,ingrediente_basura,0
\\uapproved,ingrediente_basura,0
\monosodium,ingrediente_basura,0
\nocciola,ingrediente_basura,0
"\piedmont*\""",ingrediente_basura,0
^,ingrediente_basura,0
^.},ingrediente_basura,0
^^water,ingrediente_basura,0
^acidity,ingrediente_basura,0
^aged,ingrediente_basura,0
^almonds,ingrediente_basura,0
^anchovies,ingrediente_basura,0
^anchovy,ingrediente_basura,0
^annatto,ingrediente_basura,0
^apple,apple,1
^apples*,apple,1
^ascorbic,ingrediente_basura,0
^aubergine,ingrediente_basura,0
^avocado,ingrediente_basura,0
^balsamic,ingrediente_basura,0
^barley,ingrediente_basura,0
^basil,ingrediente_basura,0
^beef,beef,1
^blackcurrants,ingrediente_basura,0
^blueberries,berrie,1
^blueberry,ingrediente_basura,0
^butter,butter,1
^calcium,ingrediente_basura,0
^canola,ingrediente_basura,0
^capers,ingrediente_basura,0
^caramel,ingrediente_basura,0
^carrot,ingrediente_basura,0
^cayenne,ingrediente_basura,0
^cheddar,ingrediente_basura,0
^chicken,chicken,1
^chickpeas,ingrediente_basura,0
^chipotle,ingrediente_basura,0
^chopped,ingrediente_basura,0
^choppedbrazil,ingrediente_basura,0
^citral,ingrediente_basura,0
^citric,ingrediente_basura,0
^citronellol,ingrediente_basura,0
^co,ingrediente_basura,0
^cocoa,ingrediente_basura,0
^concentrated,ingrediente_basura,0
^condensed,ingrediente_basura,0
^containingbarley,ingrediente_basura,0
^contains,ingrediente_basura,0
^containscelery,ingrediente_basura,0
^containsmilk,milk,1
^cooked,ingrediente_basura,0
^coriander,ingrediente_basura,0
^corn,ingrediente_basura,0
^cranberries,berrie,1
^cranberry,ingrediente_basura,0
^crustacean,ingrediente_basura,0
^cumin,ingrediente_basura,0
^dark,ingrediente_basura,0
^disodium,ingrediente_basura,0
^dried,ingrediente_basura,0
^driedmilklactose,milk,1
^durumwheatsemolina,ingrediente_basura,0
^e,ingrediente_basura,0
^edible,ingrediente_basura,0
^ee,ingrediente_basura,0
^emmental,ingrediente_basura,0
^ethanol*,ingrediente_basura,0
^fairly,ingrediente_basura,0
^farnesol.,ingrediente_basura,0
^firming,ingrediente_basura,0
^fish,fish,1
^flavouring,ingrediente_basura,0
^flavourings,ingrediente_basura,0
^flaxseed,ingrediente_basura,0
^fortified,ingrediente_basura,0
^fortifiedwheatflour,ingrediente_basura,0
^from,ingrediente_basura,0
^frombarley,ingrediente_basura,0
^fructose,ingrediente_basura,0
^garlic,ingrediente_basura,0
^garlicâ€,ingrediente_basura,0
^geraniol,ingrediente_basura,0
^gherkins,ingrediente_basura,0
^ginger,ingrediente_basura,0
^glucose,ingrediente_basura,0
^glucose-fructose,ingrediente_basura,0
^gram,ingrediente_basura,0
^granulated,ingrediente_basura,0
^grated,ingrediente_basura,0
^ground,ingrediente_basura,0
^hazelnuts,ingrediente_basura,0
^herbs,ingrediente_basura,0
^high,ingrediente_basura,0
^icing,ingrediente_basura,0
^instant,ingrediente_basura,0
^invert,ingrediente_basura,0
^iron,ingrediente_basura,0
^lactose,ingrediente_basura,0
^lemongrass,ingrediente_basura,0
^limonene,ingrediente_basura,0
^linalool,ingrediente_basura,0
^locust,ingrediente_basura,0
^maize,maize,1
^malt,ingrediente_basura,0
^maltodextrin,ingrediente_basura,0
^mango,ingrediente_basura,0
^methylcellulose,ingrediente_basura,0
^milk,milk,1
^modified,ingrediente_basura,0
^mono,ingrediente_basura,0
^mozzarella,ingrediente_basura,0
^msc,ingrediente_basura,0
^mushroom,ingrediente_basura,0
^mustardseeds,ingrediente_basura,0
^mycoprotein?*,ingrediente_basura,0
^natural,ingrediente_basura,0
^olives,ingrediente_basura,0
^onion,onion,1
^orange,ingrediente_basura,0
^organic,ingrediente_basura,0
^original,ingrediente_basura,0
^palm,ingrediente_basura,0
^palm*,ingrediente_basura,0
^paprika,ingrediente_basura,0
^parsley,ingrediente_basura,0
^partially,ingrediente_basura,0
^passion,ingrediente_basura,0
^pasteurised,ingrediente_basura,0
^pasteurized,ingrediente_basura,0
^peach,ingrediente_basura,0
^peanuts,ingrediente_basura,0
^pear,ingrediente_basura,0
^pineapple,apple,1
^pistachio,ingrediente_basura,0
^pitted,ingrediente_basura,0
^pork,pork,1
^potato,potato,1
^potatoes*,potato,1
^prawn,ingrediente_basura,0
^preservative,ingrediente_basura,0
^raisins,ingrediente_basura,0
^rapeseed,ingrediente_basura,0
^raspberries,berrie,1
^reconstituted,ingrediente_basura,0
^red,ingrediente_basura,0
^rehydrated,ingrediente_basura,0
^rice,rice,1
^roasted,ingrediente_basura,0
^rosemary*,ingrediente_basura,0
^salt,ingrediente_basura,0
^scotch,ingrediente_basura,0
^sea,ingrediente_basura,0
^seaweed,ingrediente_basura,0
^skimmed,ingrediente_basura,0
^skimmedmilk,milk,1
^sodium,ingrediente_basura,0
^soft&#,ingrediente_basura,0
^softwheat,ingrediente_basura,0
^soy,ingrediente_basura,0
^soya,ingrediente_basura,0
^soyabeans,ingrediente_basura,0
^soyalecithin,ingrediente_basura,0
^soyalecithins,ingrediente_basura,0
^soylecithin,ingrediente_basura,0
^soylecithin},ingrediente_basura,0
^soysauce,ingrediente_basura,0
^spices,ingrediente_basura,0
^spinach,ingrediente_basura,0
^spirit,ingrediente_basura,0
^squid,ingrediente_basura,0
^star,ingrediente_basura,0
^strawberries,berrie,1
^sugar,ingrediente_basura,0
^sugar*,ingrediente_basura,0
^sugar.,ingrediente_basura,0
^sulphur,ingrediente_basura,0
^sultanas,ingrediente_basura,0
^sunflower,ingrediente_basura,0
^sushi,ingrediente_basura,0
^sustainably,ingrediente_basura,0
^sweetened,ingrediente_basura,0
^texturedwheatprotein,ingrediente_basura,0
^to,ingrediente_basura,0
^tomatoes,tomato,1
^turmeric,ingrediente_basura,0
^vegetable,ingrediente_basura,0
^vitamin,ingrediente_basura,0
^water,ingrediente_basura,0
^wheat,ingrediente_basura,0
^wheatflour,ingrediente_basura,0
^whey,ingrediente_basura,0
^white,ingrediente_basura,0
^wholealmonds,ingrediente_basura,0
^wholegrain,ingrediente_basura,0
^wholemealwheatflour,ingrediente_basura,0
^wholemilkpowder,milk,1
^with,ingrediente_basura,0
^withwheatsprouts,ingrediente_basura,0
^xanthan,ingrediente_basura,0
^yeast,ingrediente_basura,0
a,ingrediente_basura,0
a&d,ingrediente_basura,0
a+e,ingrediente_basura,0
a.,ingrediente_basura,0
a.*,ingrediente_basura,0
a.o.p.*,ingrediente_basura,0
a/ppg-,ingrediente_basura,0
a/sodium,ingrediente_basura,0
aa,ingrediente_basura,0
aand,ingrediente_basura,0
ab,ingrediente_basura,0
abalone,ingrediente_basura,0
aberdeen,ingrediente_basura,0
abies,ingrediente_basura,0
about,ingrediente_basura,0
above,ingrediente_basura,0
abroad,ingrediente_basura,0
absolute,ingrediente_basura,0
absolutely,ingrediente_basura,0
absorbed,ingrediente_basura,0
abv,ingrediente_basura,0
abv.,ingrediente_basura,0
abyssinian,ingrediente_basura,0
abyssinica,ingrediente_basura,0
ac,ingrediente_basura,0
acacia,ingrediente_basura,0
acacia.,ingrediente_basura,0
acai,ingrediente_basura,0
acaiberry,ingrediente_basura,0
acasia,ingrediente_basura,0
accordance,ingrediente_basura,0
according,ingrediente_basura,0
acephala,ingrediente_basura,0
acer,ingrediente_basura,0
acerola,ingrediente_basura,0
acesulfame,ingrediente_basura,0
acesulfame-k,ingrediente_basura,0
acesulfamek,ingrediente_basura,0
acesulfamekallergy,ingrediente_basura,0
acesulframe,ingrediente_basura,0
acesulphame,ingrediente_basura,0
acetate,ingrediente_basura,0
acetate*,ingrediente_basura,0
acetate.,ingrediente_basura,0
acetates,ingrediente_basura,0
acetic,ingrediente_basura,0
acetilized,ingrediente_basura,0
aceto,ingrediente_basura,0
